title,price,price_gbp,star_rating,rating,availability,in_stock,price_inr,category
Arena,Â£21.36,21.36,Four,4,In stock,True,2253.48,Science Fiction
Foundation (Foundation (Publication Order) #1),Â£32.42,32.42,One,1,In stock,True,3420.31,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Â£10.92,10.92,One,1,In stock,True,1152.06,Science Fiction
Ready Player One,Â£19.07,19.07,Four,4,In stock,True,2011.88,Science Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Â£33.26,33.26,Two,2,In stock,True,3508.93,Science Fiction
Dune (Dune #1),Â£54.86,54.86,One,1,In stock,True,5787.73,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),Â£51.48,51.48,One,1,In stock,True,5431.14,Science Fiction
Three Wishes (River of Time: California #1),Â£44.18,44.18,Two,2,In stock,True,4660.99,Science Fiction
The Last Girl (The Dominion Trilogy #1),Â£36.26,36.26,Two,2,In stock,True,3825.43,Science Fiction
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Â£34.96,34.96,Four,4,In stock,True,3688.28,Science Fiction
